index,relayerCount,totalGas
0,1,366741
1,2,312869
2,3,315401
3,4,317909
4,5,320441
5,6,322986
6,7,325507
7,8,328016
8,9,330537
9,10,333070
10,11,335593
11,12,338127
12,13,340661
13,14,343195
14,15,345719
15,16,348242
16,17,350765
17,18,353289
18,19,355825
19,20,358338
